transaction_id,timestamp,amount,status,payment_mode,settlement_status,settlement_delay_mins
TXNP100083,2026-05-26 18:35:36,341.72,FAILURE,UPI,N/A,0
TXNP100098,2026-05-26 18:44:21,169.55,FAILURE,UPI,N/A,0
TXNP100107,2026-05-27 02:23:57,344.45,SUCCESS,UPI,Unsettled,3159
TXNP100139,2026-05-27 04:04:16,278.78,SUCCESS,Wallet,Settled,2308
TXNP100054,2026-05-27 05:18:17,321.86,SUCCESS,UPI,Settled,2999
TXNP100137,2026-05-27 10:29:07,310.12,SUCCESS,Net Banking,Settled,1397
TXNP100037,2026-05-27 14:28:56,193.19,SUCCESS,UPI,Settled,981
TXNP100063,2026-05-27 15:55:27,24.01,SUCCESS,UPI,Settled,1648
TXNP100073,2026-05-27 16:56:00,309.41,SUCCESS,UPI,Settled,1139
TXNP100020,2026-05-27 18:16:31,316.62,SUCCESS,UPI,Unsettled,2935
TXNP100094,2026-05-27 18:23:41,339.49,SUCCESS,Wallet,Settled,2070
TXNP100046,2026-05-27 19:22:33,97.13,SUCCESS,Credit Card,Settled,2672
TXNP100124,2026-05-27 20:08:32,193.81,SUCCESS,UPI,Settled,1857
TXNP100004,2026-05-27 20:22:50,216.85,SUCCESS,UPI,Settled,2754
TXNP100079,2026-05-28 01:02:30,98.24,SUCCESS,Wallet,Settled,3332
TXNP100005,2026-05-28 02:10:25,70.18,SUCCESS,UPI,Settled,1598
TXNP100031,2026-05-28 02:49:35,305.94,SUCCESS,UPI,Unsettled,2027
TXNP100071,2026-05-28 06:13:45,343.48,SUCCESS,Credit Card,Settled,2137
TXNP100051,2026-05-28 06:28:38,270.46,SUCCESS,UPI,Unsettled,980
TXNP100104,2026-05-28 07:00:31,76.09,FAILURE,Net Banking,N/A,0
TXNP100146,2026-05-28 07:10:28,72.74,SUCCESS,UPI,Settled,1659
TXNP100127,2026-05-28 09:56:26,117.24,FAILURE,UPI,N/A,0
TXNP100142,2026-05-28 13:01:16,56.03,FAILURE,Wallet,N/A,0
TXNP100080,2026-05-28 13:19:53,30.14,SUCCESS,Net Banking,Settled,2205
TXNP100007,2026-05-28 15:18:52,65.58,SUCCESS,Wallet,Settled,999
TXNP100035,2026-05-28 15:48:14,306.09,FAILURE,UPI,N/A,0
TXNP100141,2026-05-28 15:59:29,385.19,SUCCESS,UPI,Settled,2917
TXNP100043,2026-05-28 16:27:53,262.91,FAILURE,Credit Card,N/A,0
TXNP100011,2026-05-28 17:44:32,279.39,SUCCESS,UPI,Settled,3019
TXNP100009,2026-05-28 20:10:08,238.57,SUCCESS,UPI,Unsettled,2611
TXNP100077,2026-05-28 22:36:34,70.98,FAILURE,UPI,N/A,0
TXNP100075,2026-05-28 23:45:54,24.76,SUCCESS,UPI,Unsettled,2327
TXNP100147,2026-05-29 00:12:05,62.06,SUCCESS,Credit Card,Unsettled,1600
TXNP100058,2026-05-29 00:20:07,196.83,FAILURE,Wallet,N/A,0
TXNP100143,2026-05-29 08:52:48,397.02,FAILURE,Wallet,N/A,0
TXNP100019,2026-05-29 09:11:21,181.07,SUCCESS,Net Banking,Settled,1394
TXNP100078,2026-05-29 09:32:44,397.56,SUCCESS,UPI,Settled,2481
TXNP100006,2026-05-29 10:06:40,257.48,SUCCESS,Wallet,Settled,1368
TXNP100109,2026-05-29 11:40:04,344.55,SUCCESS,Credit Card,Settled,2368
TXNP100112,2026-05-29 12:56:43,210.74,FAILURE,UPI,N/A,0
TXNP100140,2026-05-29 13:58:13,314.15,FAILURE,UPI,N/A,0
TXNP100100,2026-05-29 16:05:29,100.44,SUCCESS,UPI,Settled,2968
TXNP100123,2026-05-29 18:06:19,158.51,FAILURE,UPI,N/A,0
TXNP100045,2026-05-29 18:18:54,66.31,SUCCESS,UPI,Unsettled,1707
TXNP100068,2026-05-29 18:37:39,125.28,SUCCESS,UPI,Settled,1971
TXNP100111,2026-05-29 21:41:46,120.86,SUCCESS,UPI,Unsettled,2894
TXNP100042,2026-05-30 00:11:02,106.33,SUCCESS,UPI,Unsettled,1205
TXNP100129,2026-05-30 03:15:33,136.55,FAILURE,UPI,N/A,0
TXNP100012,2026-05-30 07:05:42,50.42,SUCCESS,UPI,Settled,3415
TXNP100057,2026-05-30 08:47:05,182.55,FAILURE,UPI,N/A,0
TXNP100027,2026-05-30 11:35:49,70.68,SUCCESS,UPI,Settled,3393
TXNP100093,2026-05-30 12:16:48,86.91,FAILURE,Credit Card,N/A,0
TXNP100056,2026-05-30 15:16:45,287.67,SUCCESS,Net Banking,Settled,1656
TXNP100002,2026-05-30 16:17:35,216.79,SUCCESS,UPI,Settled,1875
TXNP100030,2026-05-30 18:36:48,356.13,FAILURE,Wallet,N/A,0
TXNP100131,2026-05-31 00:23:57,192.05,SUCCESS,UPI,Settled,2457
TXNP100069,2026-05-31 01:21:53,132.42,FAILURE,UPI,N/A,0
TXNP100082,2026-05-31 07:24:57,202.35,FAILURE,UPI,N/A,0
TXNP100072,2026-05-31 15:01:32,276.31,SUCCESS,UPI,Settled,2595
TXNP100144,2026-05-31 15:37:57,88.74,SUCCESS,UPI,Settled,2307
TXNP100026,2026-05-31 17:49:05,246.45,SUCCESS,UPI,Settled,2755
TXNP100136,2026-05-31 17:54:13,326.45,SUCCESS,Wallet,Unsettled,2792
TXNP100036,2026-05-31 19:05:28,262.17,SUCCESS,UPI,Settled,1272
TXNP100118,2026-05-31 20:59:46,230.67,SUCCESS,Debit Card,Unsettled,2834
TXNP100023,2026-05-31 21:02:43,134.06,SUCCESS,Credit Card,Settled,2466
TXNP100061,2026-05-31 21:28:34,155.89,SUCCESS,Credit Card,Unsettled,1298
TXNP100039,2026-05-31 22:04:42,244.5,SUCCESS,UPI,Settled,1669
TXNP100067,2026-05-31 22:53:30,180.67,SUCCESS,UPI,Settled,1996
TXNP100110,2026-05-31 23:36:21,234.52,SUCCESS,Wallet,Settled,2532
TXNP100025,2026-06-01 00:05:59,121.58,SUCCESS,Credit Card,Settled,2650
TXNP100055,2026-06-01 02:12:02,308.08,SUCCESS,UPI,Settled,1490
TXNP100138,2026-06-01 02:14:04,169.4,SUCCESS,UPI,Settled,2680
TXNP100028,2026-06-01 02:14:58,213.78,SUCCESS,Wallet,Settled,2567
TXNP100059,2026-06-01 04:24:05,280.76,FAILURE,UPI,N/A,0
TXNP100008,2026-06-01 04:34:48,235.57,SUCCESS,UPI,Settled,1648
TXNP100091,2026-06-01 10:47:29,209.52,SUCCESS,UPI,Settled,1974
TXNP100105,2026-06-01 12:35:43,246.48,SUCCESS,Wallet,Settled,1873
TXNP100024,2026-06-01 15:20:57,192.84,SUCCESS,Credit Card,Settled,2178
TXNP100113,2026-06-01 21:21:25,142.63,SUCCESS,UPI,Settled,1197
TXNP100033,2026-06-02 02:35:21,247.49,SUCCESS,UPI,Unsettled,2087
TXNP100003,2026-06-02 03:51:13,132.07,SUCCESS,UPI,Settled,1962
TXNP100103,2026-06-02 04:13:58,49.31,SUCCESS,UPI,Settled,2479
TXNP100084,2026-06-02 06:12:55,306.8,FAILURE,UPI,N/A,0
TXNP100148,2026-06-02 13:21:52,25.41,FAILURE,UPI,N/A,0
TXNP100053,2026-06-02 14:47:36,146.47,SUCCESS,UPI,Settled,2317
TXNP100038,2026-06-02 22:09:48,147.6,SUCCESS,UPI,Settled,3130
TXNP100135,2026-06-03 00:51:54,87.65,FAILURE,Credit Card,N/A,0
TXNP100106,2026-06-03 04:26:40,271.81,FAILURE,Wallet,N/A,0
TXNP100070,2026-06-03 08:38:01,107.53,SUCCESS,UPI,Unsettled,2702
TXNP100029,2026-06-03 13:57:14,30.01,SUCCESS,UPI,Settled,2729
TXNP100115,2026-06-03 14:07:53,176.87,SUCCESS,UPI,Settled,1826
TXNP100013,2026-06-03 14:55:34,276.38,SUCCESS,UPI,Unsettled,2418
TXNP100022,2026-06-03 15:47:41,335.59,FAILURE,Wallet,N/A,0
TXNP100101,2026-06-03 17:23:03,157.0,SUCCESS,Credit Card,Settled,2972
TXNP100149,2026-06-04 00:52:48,399.68,FAILURE,UPI,N/A,0
TXNP100108,2026-06-04 02:18:52,298.57,SUCCESS,UPI,Settled,2139
TXNP100034,2026-06-04 03:00:05,253.07,SUCCESS,UPI,Settled,2096
TXNP100047,2026-06-04 08:45:38,67.78,FAILURE,UPI,N/A,0
TXNP100097,2026-06-04 11:25:12,135.63,FAILURE,UPI,N/A,0
TXNP100132,2026-06-04 11:59:41,139.48,FAILURE,Wallet,N/A,0
TXNP100076,2026-06-04 12:45:15,59.91,SUCCESS,UPI,Unsettled,1948
TXNP100087,2026-06-04 12:55:23,179.9,FAILURE,Debit Card,N/A,0
TXNP100086,2026-06-04 13:31:21,86.12,SUCCESS,UPI,Settled,2430
TXNP100117,2026-06-04 16:40:49,380.21,SUCCESS,Net Banking,Settled,1995
TXNP100041,2026-06-05 00:29:57,374.35,FAILURE,Credit Card,N/A,0
